x_value,total_1,total_2
545,85.00,146
546,85.00,145
547,85.00,145
548,85.00,145
549,85.00,145
550,85.00,145
551,85.00,145
552,85.00,145
553,85.00,145
554,85.00,145
555,85.00,145
556,85.00,145
557,85.00,144
558,85.00,145
559,85.00,145
560,85.00,145
561,85.00,145
562,85.00,145
563,85.00,145
564,85.00,145
565,85.00,145
566,85.00,145
567,85.00,145
568,85.00,145
569,85.00,145
570,85.00,145
571,85.00,145
572,85.00,146
573,85.00,145
574,85.00,145
575,85.00,145
576,85.00,145
577,85.00,145
578,85.00,145
579,85.00,145
580,85.00,145
581,85.00,145
582,85.00,145
583,85.00,145
584,85.00,145
585,85.00,145
586,85.00,145
587,85.00,145
588,85.00,145
589,85.00,145
590,85.00,145
591,85.00,145
592,85.00,145
593,85.00,145
594,85.00,145
595,85.00,146
596,85.00,145
597,85.00,145
598,85.00,145
599,85.00,145
600,85.00,145
601,85.00,145
602,85.00,145
603,85.00,145
604,85.00,145
605,85.00,145
606,85.00,145
607,85.00,145
608,85.00,145
609,85.00,145
610,85.00,145
611,85.00,145
612,85.00,145
613,85.00,145
614,85.00,145
615,85.00,145
616,85.00,145
618,85.00,145
619,85.00,144
620,85.00,145
621,85.00,145
622,85.00,145
623,85.00,145
624,85.00,145
625,85.00,145
626,85.00,145
627,85.00,145
628,85.00,145
629,85.00,145
630,85.00,145
631,85.00,145
632,85.00,145
633,85.00,144
634,85.00,145
635,85.00,145
636,85.00,145
637,85.00,144
638,85.00,145
639,85.00,145
640,85.00,145
641,85.00,145
642,85.00,145
643,85.00,145
644,85.00,145
645,85.00,145
646,85.00,145
647,85.00,145
648,85.00,145
649,85.00,145
650,85.00,145
651,85.00,145
652,85.00,145
653,85.00,145
654,85.00,145
655,85.00,145
656,85.00,145
657,85.00,145
658,85.00,145
659,85.00,145
660,85.00,145
661,85.00,145
662,85.00,145
663,85.00,144
664,85.00,145
665,85.00,145
666,85.00,145
667,85.00,145
668,85.00,145
669,85.00,145
670,85.00,145
671,85.00,145
672,85.00,145
673,85.00,145
674,85.00,146
675,85.00,145
676,85.00,145
677,85.00,145
678,85.00,145
679,85.00,145
680,85.00,145
681,85.00,145
682,85.00,145
683,85.00,145
684,85.00,145
685,85.00,145
686,85.00,145
687,85.00,145
688,85.00,145
689,85.00,145
690,85.00,145
691,85.00,145
692,85.00,145
693,85.00,145
695,85.00,145
696,85.00,145
697,85.00,145
698,85.00,145
699,85.00,145
700,85.00,145
701,85.00,145
702,85.00,145
703,85.00,145
704,85.00,145
705,85.00,145
706,85.00,145
707,85.00,145
708,85.00,145
709,85.00,145
710,85.00,145
711,85.00,145
712,85.00,145
713,85.00,145
714,85.00,145
715,85.00,145
716,85.00,145
717,85.00,145
718,85.00,145
719,85.00,145
720,85.00,145
721,85.00,145
722,85.00,145
723,85.00,145
724,85.00,145
725,85.00,145
726,85.00,145
727,85.00,145
728,85.00,145
729,85.00,145
730,85.00,145
731,85.00,145
732,85.00,145
733,85.00,145
734,85.00,145
735,85.00,145
736,85.00,145
737,85.00,145
738,85.00,145
739,85.00,145
740,85.00,145
741,85.00,145
742,85.00,145
743,85.00,145
744,85.00,145
745,85.00,145
746,85.00,145
747,85.00,145
748,85.00,145
749,85.00,145
750,85.00,145
751,85.00,145
752,85.00,145
753,85.00,145
754,85.00,145
755,85.00,145
756,85.00,145
757,85.00,145
758,85.00,145
759,85.00,145
760,85.00,146
761,85.00,145
762,85.00,146
763,85.00,145
764,85.00,145
765,85.00,145
766,85.00,145
767,85.00,145
768,85.00,145
769,85.00,145
770,85.00,146
771,85.00,145
773,85.00,145
774,85.00,145
775,85.00,145
776,85.00,145
777,85.00,145
778,85.00,146
779,85.00,145
780,85.00,145
781,85.00,145
782,85.00,145
783,85.00,145
784,85.00,145
785,85.00,145
786,85.00,145
787,85.00,145
788,85.00,145
789,85.00,145
790,85.00,146
791,85.00,145
792,85.00,145
793,85.00,145
794,85.00,145
795,85.00,145
796,85.00,145
797,85.00,145
798,85.00,145
799,85.00,146
800,85.00,145
801,85.00,145
802,85.00,145
803,85.00,145
804,85.00,145
805,85.00,145
806,85.00,145
807,85.00,145
808,85.00,145
809,85.00,145
810,85.00,144
811,85.00,145
812,85.00,145
813,85.00,145
814,85.00,145
815,85.00,145
816,85.00,145
817,85.00,145
818,85.00,145
819,85.00,145
820,85.00,145
821,85.00,145
822,85.00,145
823,85.00,145
824,85.00,145
825,85.00,145
826,85.00,145
827,85.00,145
828,85.00,145
829,85.00,145
830,85.00,145
831,85.00,145
832,85.00,146
833,85.00,145
834,85.00,145
835,85.00,145
836,85.00,146
837,85.00,145
838,85.00,145
839,85.00,145
840,85.00,145
841,85.00,145
842,85.00,145
843,85.00,145
844,85.00,145
845,85.00,145
846,85.00,145
847,85.00,145
848,85.00,145
850,85.00,145
851,85.00,145
852,85.00,145
853,85.00,145
854,85.00,145
855,85.00,145
856,85.00,145
857,85.00,145
858,85.00,145
859,85.00,145
860,85.00,145
861,85.00,145
862,85.00,144
863,85.00,145
864,85.00,146
865,85.00,145
866,85.00,145
867,85.00,145
868,85.00,145
869,85.00,145
870,85.00,145
871,85.00,145
872,85.00,145
873,85.00,145
874,85.00,145
875,85.00,145
876,85.00,145
877,85.00,145
878,85.00,145
879,85.00,145
880,85.00,145
881,85.00,145
882,85.00,145
883,85.00,145
884,85.00,145
885,85.00,145
886,85.00,145
887,85.00,146
888,85.00,145
889,85.00,145
890,85.00,145
891,85.00,145
892,85.00,145
893,85.00,145
894,85.00,145
895,85.00,145
896,85.00,145
897,85.00,145
898,85.00,145
899,85.00,145
900,85.00,145
901,85.00,145
902,85.00,146
903,85.00,145
904,85.00,145
905,85.00,145
906,85.00,145
907,85.00,145
908,85.00,146
909,85.00,145
910,85.00,145
911,85.00,145
912,85.00,145
913,85.00,145
914,85.00,145
915,85.00,146
916,85.00,145
917,85.00,145
918,85.00,145
919,85.00,145
920,85.00,145
921,85.00,145
922,85.00,145
923,85.00,145
924,85.00,145
925,85.00,145
926,85.00,145
928,85.00,145
929,85.00,145
930,85.00,145
931,85.00,145
932,85.00,145
933,85.00,145
934,85.00,145
935,85.00,145
936,85.00,145
937,85.00,144
938,85.00,145
939,85.00,145
940,85.00,145
941,85.00,145
942,85.00,145
943,85.00,145
944,85.00,145
945,85.00,146
946,85.00,145
947,85.00,145
948,85.00,145
949,85.00,146
950,85.00,146
951,85.00,145
952,85.00,145
953,85.00,145
954,85.00,145
955,85.00,145
956,85.00,145
957,85.00,145
958,85.00,145
959,85.00,145
960,85.00,145
961,85.00,145
962,85.00,145
963,85.00,145
964,85.00,145
965,85.00,145
966,85.00,145
967,85.00,145
968,85.00,145
969,85.00,145
970,85.00,145
971,85.00,145
972,85.00,145
973,85.00,145
974,85.00,146
975,85.00,145
976,85.00,144
977,85.00,145
978,85.00,145
979,85.00,145
980,85.00,145
981,85.00,145
982,85.00,145
983,85.00,145
984,85.00,146
985,85.00,145
986,85.00,145
987,85.00,145
988,85.00,145
989,85.00,145
990,85.00,145
991,85.00,145
992,85.00,145
993,85.00,145
994,85.00,145
995,85.00,145
996,85.00,145
997,85.00,145
998,85.00,145
999,85.00,145
1000,85.00,145
1001,85.00,145
1002,85.00,145
1003,85.00,145
1004,85.00,145
1006,85.00,145
1007,85.00,145
1008,85.00,145
1009,85.00,145
1010,85.00,145
1011,85.00,145
1012,85.00,145
1013,85.00,145
1014,85.00,145
1015,85.00,145
1016,85.00,145
1017,85.00,145
1018,85.00,145
1019,85.00,145
1020,85.00,145
1021,85.00,145
1022,85.00,145
1023,85.00,145
1024,85.00,145
1025,85.00,145
1026,85.00,145
1027,85.00,144
1028,85.00,145
1029,85.00,145
1030,85.00,145
1031,85.00,145
1032,85.00,145
1033,85.00,145
1034,85.00,145
1035,85.00,145
1036,85.00,145
1037,85.00,145
1038,85.00,145
1039,85.00,145
1040,85.00,145
1041,85.00,145
1042,85.00,145
1043,85.00,145
1044,85.00,145
1045,85.00,145
1046,85.00,145
1047,85.00,145
1048,85.00,145
1049,85.00,145
1050,85.00,145
1051,85.00,145
1052,85.00,145
1053,85.00,145
1054,85.00,145
1055,85.00,145
1056,85.00,145
1057,85.00,145
1058,85.00,145
1059,85.00,145
1060,85.00,145
1061,85.00,145
1062,85.00,145
1063,85.00,145
1064,85.00,145
1065,85.00,145
1066,85.00,144
1067,85.00,145
1068,85.00,145
1069,85.00,145
1070,85.00,145
1071,85.00,146
1072,85.00,146
1073,85.00,145
1074,85.00,145
1075,85.00,145
1076,85.00,145
1077,85.00,145
1078,85.00,145
1079,85.00,144
1080,85.00,145
1081,85.00,145
1083,85.00,145
1084,85.00,145
1085,85.00,145
1086,85.00,145
1087,85.00,145
1088,85.00,145
1089,85.00,145
1090,85.00,145
1091,85.00,145
1092,85.00,145
1093,85.00,145
1094,85.00,145
1095,85.00,145
1096,85.00,145
1097,85.00,145
1098,85.00,145
1099,85.00,145
1100,85.00,145
1101,85.00,145
1102,85.00,145
1103,85.00,145
1104,85.00,145
1105,85.00,145
1106,85.00,145
1107,85.00,145
1108,85.00,145
1109,85.00,145
1110,85.00,145
1111,85.00,145
1112,85.00,145
1113,85.00,145
1114,85.00,145
1115,85.00,145
1116,85.00,145
1117,85.00,145
1118,85.00,145
1119,85.00,146
1120,85.00,145
1121,85.00,145
1122,85.00,146
1123,85.00,145
1124,85.00,145
1125,85.00,145
1126,85.00,145
1127,85.00,146
1128,85.00,145
1129,85.00,145
1130,85.00,145
1131,85.00,145
